url,path,title,template,kind,in_sitemap,noindex,orphan,max_similarity,most_similar_to,canonical,disposition
https://acglass.com/1172-s-harbor.html,1172-s-harbor.html,1172 S Harbor | Luxury Residential New Construction | ACG,T07,content,yes,no,no,,,https://acglass.com/1172-s-harbor.html,KEEP
https://acglass.com/2143-carib-circle.html,2143-carib-circle.html,2143 Carib Circle | Residential New Construction | ACG,T03,content,yes,no,no,,,https://acglass.com/2143-carib-circle.html,KEEP
https://acglass.com/404.html,404.html,Page Not Found | American Commercial Glass,T03,noindex-draft,no,yes,yes,,,https://acglass.com/404.html,REVIEW-PHASE-4
https://acglass.com/736-lagoon-dr.html,736-lagoon-dr.html,736 Lagoon Drive | Luxury Waterfront Residential | ACG,T03,content,yes,no,no,,,https://acglass.com/736-lagoon-dr.html,KEEP
https://acglass.com/about-acg-for-ai.html,about-acg-for-ai.html,Redirecting to Ask ACG | ACG,T06,redirect-stub,no,yes,yes,,,https://acglass.com/ask.html,KEEP
https://acglass.com/about.html,about.html,"ACG Florida Glazing Contractor | Founded 2021, CGC",T08,content,yes,no,no,,,https://acglass.com/about.html,KEEP
https://acglass.com/about/connor-walsh/,about/connor-walsh/index.html,Author Bio | American Commercial Glass,T06,redirect-stub,no,yes,yes,,,https://acglass.com/authors/connor-walsh.html,KEEP
https://acglass.com/about/,about/index.html,Moved | American Commercial Glass,T06,redirect-stub,no,yes,yes,,,https://acglass.com/about.html,KEEP
https://acglass.com/acg-glass-florida/,acg-glass-florida/index.html,American Commercial Glass Florida Company Profile | ACG,T01,content,yes,no,no,,,https://acglass.com/acg-glass-florida/,KEEP
https://acglass.com/acg-glass.html,acg-glass.html,ACG Glass - American Commercial Glass | Florida Commercial,T03,orphan-indexed,yes,no,yes,,,https://acglass.com/acg-glass.html,LINK-OR-RETIRE
https://acglass.com/acg-nashville-office-opening/,acg-nashville-office-opening/index.html,410 Gone,T06,noindex-draft,no,yes,yes,,,https://acglass.com/locations.html,REVIEW-PHASE-4
https://acglass.com/acg-vs-competitors.html,acg-vs-competitors.html,Commercial Glazing Contractor Comparison Guide | ACG,T07,content,yes,no,no,,,https://acglass.com/acg-vs-competitors.html,KEEP
https://acglass.com/acg-vs-giroux-glass.html,acg-vs-giroux-glass.html,ACG vs Giroux Glass: Glazing Compared,T07,content,yes,no,no,,,https://acglass.com/acg-vs-giroux-glass.html,KEEP
https://acglass.com/acg-vs-harmon.html,acg-vs-harmon.html,ACG vs Harmon: Commercial Glazing Compared,T07,content,yes,no,no,,,https://acglass.com/acg-vs-harmon.html,KEEP
https://acglass.com/acg-vs-permasteelisa.html,acg-vs-permasteelisa.html,ACG vs Permasteelisa: Glazing Compared,T07,content,yes,no,no,,,https://acglass.com/acg-vs-permasteelisa.html,KEEP
https://acglass.com/acg.html,acg.html,Redirecting to About ACG | ACG,T06,redirect-stub,no,yes,yes,,,https://acglass.com/about.html,KEEP
https://acglass.com/acoustic-glazing-stc-oitc-commercial.html,acoustic-glazing-stc-oitc-commercial.html,Acoustic Glazing - STC/OITC Commercial Sound Control | ACG,T07,content,yes,no,no,,,https://acglass.com/acoustic-glazing-stc-oitc-commercial.html,KEEP
